variable,field,Y2000,Y2010,district
Population,In households_In nonfamily households_Nonrelatives,5006,6488,20
Population,In group quarters_In nonfamily households,2414,1918,20
Households,In group quarters_In nonfamily households,55244,55734,20
Households,Family households_In nonfamily households,39098,39639,20
Households,Family households_Married-couple family,28905,28049,20
Households,Family households_Married-couple family_With related children under 18 years,14028,11909,20
Households,"Family households_Female householder, no husband present",7026,7846,20
Households,"Family households_Female householder, no husband present_With related children under 18 years",3319,2893,20
Households,"Family households_Male householder, no wife present",3167,3744,20
Households,"Family households_Male householder, no wife present_With related children under 18 years",1067,1116,20
Households,"Nonfamily households_Male householder, no wife present",16146,16095,20
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15752,16996,20
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.3070745306665303,3.2824743308357927,20
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.8078886394902614,2.852746976710805,20
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",56993,60024,20
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",55244,55734,20
Housing Units,"Renter occupied_Male householder, no wife present",34704,34257,20
Housing Units,"Owner occupied_Male householder, no wife present",20540,21477,20
Housing Units,Owner occupied_1  person household,13048,12369,20
Housing Units,Owner occupied_2  person household,14870,15332,20
Housing Units,Owner occupied_3  person household,10491,11230,20
Housing Units,Owner occupied_4  person household,9145,8846,20
Housing Units,Owner occupied_5 persons and over,7690,7957,20
Housing Units,Householder Age - Owner occupied_15 to 24 years,1482,1481,20
Housing Units,Householder Age - Owner occupied_25 to 44 years,22114,17817,20
Housing Units,Householder Age - Owner occupied_45 to 64 years,19292,23428,20
Housing Units,Householder Age - Owner occupied_65 years and over,12356,13008,20
Population,White Nonhispanic,10650,7707,21
Population,Black Nonhispanic,17553,10457,21
Population,Asian and Pacific Islander Nonhispanic,19837,21714,21
Population,Other Nonhispanic,1418,1206,21
Population,Two or More Races Nonhispanic,3008,1558,21
Population,Hispanic Origin,111862,130028,21
Population,Female,79315,80804,21
Population,Male,85013,91866,21
Population,Under 5 years,12681,13674,21
Population,5 to 9 years,12062,11592,21
Population,10 to 14 years,10706,9966,21
Population,15 to 19 years,12512,11760,21
Population,20 to 24 years,16350,16222,21
Population,25 to 44 years,59186,62215,21
Population,45 to 64 years,28650,34372,21
Population,65 years and over,12181,12869,21
Population,18 years and over,121976,130810,21
Population,In households,163109,170627,21
Population,In households_In family households,147277,153544,21
Population,In households_In family households_Householder,34559,34951,21
Population,In households_In family households_Spouse,20979,20647,21
Population,In households_In family households_Own child under 18 years,33701,32086,21
Population,In households_In family households_Other relatives,45182,50338,21
Population,In households_In family households_Nonrelatives,12856,15522,21
Population,In households_In nonfamily households,15832,17083,21
Population,In households_In nonfamily households_Householder,9698,9779,21
Population,In households_In nonfamily households_Householder 65 years and over living alone,2395,2174,21
Population,In households_In nonfamily households_Nonrelatives,6134,7304,21
Population,In group quarters_In nonfamily households,1219,2043,21
Households,In group quarters_In nonfamily households,44257,44730,21
Households,Family households_In nonfamily households,34559,34951,21
Households,Family households_Married-couple family,20979,20647,21
Households,Family households_Married-couple family_With related children under 18 years,13418,13161,21
Households,"Family households_Female householder, no husband present",8870,8549,21
Households,"Family households_Female householder, no husband present_With related children under 18 years",5616,5103,21
Households,"Family households_Male householder, no wife present",4710,5755,21
Households,"Family households_Male householder, no wife present_With related children under 18 years",2279,2931,21
Households,"Nonfamily households_Male householder, no wife present",9698,9779,21
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",9191,9372,21
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.8896090743366414,3.9490143343538096,21
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.685496079716203,3.8145987033310975,21
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",45814,48299,21
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",44257,44730,21
Housing Units,"Renter occupied_Male householder, no wife present",32630,33710,21
Housing Units,"Owner occupied_Male householder, no wife present",11627,11020,21
Housing Units,Owner occupied_1  person household,6714,6371,21
Housing Units,Owner occupied_2  person household,8354,8091,21
Housing Units,Owner occupied_3  person household,8012,7902,21
Housing Units,Owner occupied_4  person household,7882,8066,21
Housing Units,Owner occupied_5 persons and over,13295,14300,21
Housing Units,Householder Age - Owner occupied_15 to 24 years,2407,1861,21
Housing Units,Householder Age - Owner occupied_25 to 44 years,21139,20172,21
Housing Units,Householder Age - Owner occupied_45 to 64 years,14295,16315,21
Housing Units,Householder Age - Owner occupied_65 years and over,6416,6382,21
Population,White Nonhispanic,77110,75619,22
Population,Black Nonhispanic,12577,11007,22
Population,Asian and Pacific Islander Nonhispanic,19945,19143,22
Population,Other Nonhispanic,2770,1744,22
Population,Two or More Races Nonhispanic,9921,2810,22
Population,Hispanic Origin,40570,36186,22
Population,Female,76720,69683,22
Population,Male,86173,76826,22
Population,Under 5 years,8420,6215,22
Population,5 to 9 years,8004,5363,22
Population,10 to 14 years,6970,5308,22
Population,15 to 19 years,8974,7012,22
Population,20 to 24 years,15545,12933,22
Population,25 to 44 years,65829,62009,22
Population,45 to 64 years,30637,31247,22
Population,65 years and over,18514,16422,22
Population,18 years and over,134717,125830,22
Population,In households,149923,134956,22
Population,In households_In family households,115073,91743,22
Population,In households_In family households_Householder,34810,28873,22
Population,In households_In family households_Spouse,24389,20119,22
Population,In households_In family households_Own child under 18 years,24436,17895,22
Population,In households_In family households_Other relatives,27556,22065,22
Population,In households_In family households_Nonrelatives,3882,2791,22
Population,In households_In nonfamily households,34850,43213,22
Population,In households_In nonfamily households_Householder,25765,30178,22
Population,In households_In nonfamily households_Householder 65 years and over living alone,5939,5309,22
Population,In households_In nonfamily households_Nonrelatives,9085,13035,22
Population,In group quarters_In nonfamily households,12970,11553,22
Households,In group quarters_In nonfamily households,60575,59051,22
Households,Family households_In nonfamily households,34810,28873,22
Households,Family households_Married-couple family,24389,20119,22
Households,Family households_Married-couple family_With related children under 18 years,11340,8363,22
Households,"Family households_Female householder, no husband present",6912,5898,22
Households,"Family households_Female householder, no husband present_With related children under 18 years",3254,2555,22
Households,"Family households_Male householder, no wife present",3509,2856,22
Households,"Family households_Male householder, no wife present_With related children under 18 years",1058,905,22
Households,"Nonfamily households_Male householder, no wife present",25765,30178,22
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",14395,12711,22
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.1942257971847168,3.080802133481107,22
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.474997936442427,2.2854143028907217,22
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",62196,64320,22
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",60575,59051,22
Housing Units,"Renter occupied_Male householder, no wife present",46205,45934,22
Housing Units,"Owner occupied_Male householder, no wife present",14370,13117,22
Housing Units,Owner occupied_1  person household,18923,20205,22
Housing Units,Owner occupied_2  person household,18383,19853,22
Housing Units,Owner occupied_3  person household,9881,8880,22
Housing Units,Owner occupied_4  person household,7362,5675,22
Housing Units,Owner occupied_5 persons and over,6026,4438,22
Housing Units,Householder Age - Owner occupied_15 to 24 years,3551,2928,22
Housing Units,Householder Age - Owner occupied_25 to 44 years,28047,28232,22
Housing Units,Householder Age - Owner occupied_45 to 64 years,16812,17128,22
Housing Units,Householder Age - Owner occupied_65 years and over,12165,10763,22
Population,White Nonhispanic,65540,47591,23
Population,Black Nonhispanic,19450,17731,23
Population,Asian and Pacific Islander Nonhispanic,38576,55544,23
Population,Other Nonhispanic,3264,4363,23
Population,Two or More Races Nonhispanic,6638,5336,23
Population,Hispanic Origin,19661,20817,23
Population,Female,80779,79469,23
Population,Male,72350,71913,23
Population,Under 5 years,8856,7497,23
Population,5 to 9 years,9509,7742,23
Population,10 to 14 years,9700,8560,23
Population,15 to 19 years,9086,9116,23
Population,20 to 24 years,8431,9180,23
Population,25 to 44 years,45772,39710,23
Population,45 to 64 years,37189,45300,23
Population,65 years and over,24586,24277,23
Population,18 years and over,119257,121941,23
Population,In households,151426,148902,23
Population,In households_In family households,133110,130433,23
Population,In households_In family households_Householder,39616,38029,23
Population,In households_In family households_Spouse,30749,28752,23
Population,In households_In family households_Own child under 18 years,30424,25746,23
Population,In households_In family households_Other relatives,29848,35369,23
Population,In households_In family households_Nonrelatives,2473,2537,23
Population,In households_In nonfamily households,18316,18469,23
Population,In households_In nonfamily households_Householder,16132,16146,23
Population,In households_In nonfamily households_Householder 65 years and over living alone,6607,6279,23
Population,In households_In nonfamily households_Nonrelatives,2184,2323,23
Population,In group quarters_In nonfamily households,1703,2480,23
Households,In group quarters_In nonfamily households,55748,54175,23
Households,Family households_In nonfamily households,39616,38029,23
Households,Family households_Married-couple family,30749,28752,23
Households,Family households_Married-couple family_With related children under 18 years,14965,13228,23
Households,"Family households_Female householder, no husband present",6545,6794,23
Households,"Family households_Female householder, no husband present_With related children under 18 years",3316,2955,23
Households,"Family households_Male householder, no wife present",2322,2483,23
Households,"Family households_Male householder, no wife present_With related children under 18 years",882,946,23
Households,"Nonfamily households_Male householder, no wife present",16132,16146,23
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",18075,17801,23
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2975817851373184,3.3631176207631017,23
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.7162588792423046,2.7485371481310565,23
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",57920,56977,23
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",55748,54175,23
Housing Units,"Renter occupied_Male householder, no wife present",19379,17948,23
Housing Units,"Owner occupied_Male householder, no wife present",36369,36227,23
Housing Units,Owner occupied_1  person household,14341,14290,23
Housing Units,Owner occupied_2  person household,15871,14486,23
Housing Units,Owner occupied_3  person household,9394,9358,23
Housing Units,Owner occupied_4  person household,8833,8680,23
Housing Units,Owner occupied_5 persons and over,7309,7361,23
Housing Units,Householder Age - Owner occupied_15 to 24 years,836,632,23
Housing Units,Householder Age - Owner occupied_25 to 44 years,19620,15213,23
Housing Units,Householder Age - Owner occupied_45 to 64 years,20235,24220,23
Housing Units,Householder Age - Owner occupied_65 years and over,15057,14110,23
Population,White Nonhispanic,60004,55602,24
Population,Black Nonhispanic,20710,19523,24
Population,Asian and Pacific Islander Nonhispanic,37165,48335,24
Population,Other Nonhispanic,2642,2428,24
Population,Two or More Races Nonhispanic,8023,5060,24
Population,Hispanic Origin,34102,36500,24
Population,Female,84422,86431,24
Population,Male,78224,81017,24
Population,Under 5 years,10670,10724,24
Population,5 to 9 years,10251,9187,24
Population,10 to 14 years,9815,8768,24
Population,15 to 19 years,10249,11757,24
Population,20 to 24 years,11758,13463,24
Population,25 to 44 years,51709,47958,24
Population,45 to 64 years,36409,42935,24
Population,65 years and over,21785,22656,24
Population,18 years and over,125960,132826,24
Population,In households,159056,161230,24
Population,In households_In family households,136773,137611,24
Population,In households_In family households_Householder,39884,39721,24
Population,In households_In family households_Spouse,28744,28175,24
Population,In households_In family households_Own child under 18 years,32447,30265,24
Population,In households_In family households_Other relatives,31777,35470,24
Population,In households_In family households_Nonrelatives,3921,3980,24
Population,In households_In nonfamily households,22283,23619,24
Population,In households_In nonfamily households_Householder,18210,18736,24
Population,In households_In nonfamily households_Householder 65 years and over living alone,5599,5771,24
Population,In households_In nonfamily households_Nonrelatives,4073,4883,24
Population,In group quarters_In nonfamily households,3590,6218,24
Households,In group quarters_In nonfamily households,58094,58457,24
Households,Family households_In nonfamily households,39884,39721,24
Households,Family households_Married-couple family,28744,28175,24
Households,Family households_Married-couple family_With related children under 18 years,14527,13650,24
Households,"Family households_Female householder, no husband present",8100,8225,24
Households,"Family households_Female householder, no husband present_With related children under 18 years",4332,3860,24
Households,"Family households_Male householder, no wife present",3040,3321,24
Households,"Family households_Male householder, no wife present_With related children under 18 years",1211,1328,24
Households,"Nonfamily households_Male householder, no wife present",18210,18736,24
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15617,16421,24
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.330959783371778,3.3642405780317715,24
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.737907529176851,2.7580956942710024,24
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",60373,61426,24
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",58094,58457,24
Housing Units,"Renter occupied_Male householder, no wife present",34630,33119,24
Housing Units,"Owner occupied_Male householder, no wife present",23464,25338,24
Housing Units,Owner occupied_1  person household,15336,15592,24
Housing Units,Owner occupied_2  person household,16080,15812,24
Housing Units,Owner occupied_3  person household,10059,10143,24
Housing Units,Owner occupied_4  person household,8424,8466,24
Housing Units,Owner occupied_5 persons and over,8195,8444,24
Housing Units,Householder Age - Owner occupied_15 to 24 years,1958,1867,24
Housing Units,Householder Age - Owner occupied_25 to 44 years,23172,19957,24
Housing Units,Householder Age - Owner occupied_45 to 64 years,20237,23676,24
Housing Units,Householder Age - Owner occupied_65 years and over,12727,12957,24
Population,White Nonhispanic,31399,24693,25
Population,Black Nonhispanic,11921,9430,25
Population,Asian and Pacific Islander Nonhispanic,48353,56101,25
Population,Other Nonhispanic,1155,1054,25
Population,Two or More Races Nonhispanic,5586,3083,25
Population,Hispanic Origin,66393,68199,25
Population,Female,82919,81844,25
Population,Male,81888,80716,25
Population,Under 5 years,10474,9733,25
Population,5 to 9 years,10141,8623,25
Population,10 to 14 years,8938,8188,25
Population,15 to 19 years,9356,8916,25
Population,20 to 24 years,12460,11577,25
Population,25 to 44 years,58968,53328,25
Population,45 to 64 years,36307,42330,25
Population,65 years and over,18163,19865,25
Population,18 years and over,129903,130858,25
Population,In households,164046,161985,25
Population,In households_In family households,138724,134829,25
Population,In households_In family households_Householder,38626,37373,25
Population,In households_In family households_Spouse,25978,24746,25
Population,In households_In family households_Own child under 18 years,29891,26348,25
Population,In households_In family households_Other relatives,36748,38912,25
Population,In households_In family households_Nonrelatives,7481,7450,25
Population,In households_In nonfamily households,25322,27156,25
Population,In households_In nonfamily households_Householder,18806,19572,25
Population,In households_In nonfamily households_Householder 65 years and over living alone,5237,5456,25
Population,In households_In nonfamily households_Nonrelatives,6516,7584,25
Population,In group quarters_In nonfamily households,761,575,25
Households,In group quarters_In nonfamily households,57432,56945,25
Households,Family households_In nonfamily households,38626,37373,25
Households,Family households_Married-couple family,25978,24746,25
Households,Family households_Married-couple family_With related children under 18 years,13750,12377,25
Households,"Family households_Female householder, no husband present",8480,8363,25
Households,"Family households_Female householder, no husband present_With related children under 18 years",4452,3977,25
Households,"Family households_Male householder, no wife present",4168,4264,25
Households,"Family households_Male householder, no wife present_With related children under 18 years",1585,1757,25
Households,"Nonfamily households_Male householder, no wife present",18806,19572,25
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",14284,15481,25
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.397789054005074,3.4083161640756696,25
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.856351859590472,2.844586882079199,25
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",58893,60005,25
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",57432,56945,25
Housing Units,"Renter occupied_Male householder, no wife present",40299,37685,25
Housing Units,"Owner occupied_Male householder, no wife present",17133,19260,25
Housing Units,Owner occupied_1  person household,14604,14755,25
Housing Units,Owner occupied_2  person household,14824,14862,25
Housing Units,Owner occupied_3  person household,10390,10236,25
Housing Units,Owner occupied_4  person household,8534,8136,25
Housing Units,Owner occupied_5 persons and over,9080,8956,25
Housing Units,Householder Age - Owner occupied_15 to 24 years,1985,1452,25
Housing Units,Householder Age - Owner occupied_25 to 44 years,24461,20696,25
Housing Units,Householder Age - Owner occupied_45 to 64 years,20002,22815,25
Housing Units,Householder Age - Owner occupied_65 years and over,10984,11982,25
Population,White Nonhispanic,47782,45630,26
Population,Black Nonhispanic,11205,9944,26
Population,Asian and Pacific Islander Nonhispanic,36693,43755,26
Population,Other Nonhispanic,1550,1474,26
Population,Two or More Races Nonhispanic,6209,3313,26
Population,Hispanic Origin,58585,57303,26
Population,Female,80924,80933,26
Population,Male,81100,80486,26
Population,Under 5 years,10112,9073,26
Population,5 to 9 years,9638,7964,26
Population,10 to 14 years,8647,7586,26
Population,15 to 19 years,9125,8375,26
Population,20 to 24 years,13201,12187,26
Population,25 to 44 years,61391,61936,26
Population,45 to 64 years,32548,37293,26
Population,65 years and over,17362,17005,26
Population,18 years and over,128390,131894,26
Population,In households,160288,160096,26
Population,In households_In family households,128223,122455,26
Population,In households_In family households_Householder,36918,35770,26
Population,In households_In family households_Spouse,23720,23164,26
Population,In households_In family households_Own child under 18 years,28871,25171,26
Population,In households_In family households_Other relatives,32376,32436,26
Population,In households_In family households_Nonrelatives,6338,5914,26
Population,In households_In nonfamily households,32065,37641,26
Population,In households_In nonfamily households_Householder,23891,26618,26
Population,In households_In nonfamily households_Householder 65 years and over living alone,5990,5362,26
Population,In households_In nonfamily households_Nonrelatives,8174,11023,26
Population,In group quarters_In nonfamily households,1736,1323,26
Households,In group quarters_In nonfamily households,60809,62388,26
Households,Family households_In nonfamily households,36918,35770,26
Households,Family households_Married-couple family,23720,23164,26
Households,Family households_Married-couple family_With related children under 18 years,12129,11064,26
Households,"Family households_Female householder, no husband present",9312,8818,26
Households,"Family households_Female householder, no husband present_With related children under 18 years",5320,4446,26
Households,"Family households_Male householder, no wife present",3886,3788,26
Households,"Family households_Male householder, no wife present_With related children under 18 years",1366,1495,26
Households,"Nonfamily households_Male householder, no wife present",23891,26618,26
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",13822,13518,26
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.3015060404138903,3.2580654179480013,26
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.6359256031179594,2.566134513047381,26
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",62896,67791,26
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",60809,62388,26
Housing Units,"Renter occupied_Male householder, no wife present",48612,49087,26
Housing Units,"Owner occupied_Male householder, no wife present",12197,13301,26
Housing Units,Owner occupied_1  person household,18066,18752,26
Housing Units,Owner occupied_2  person household,16964,18756,26
Housing Units,Owner occupied_3  person household,10067,10123,26
Housing Units,Owner occupied_4  person household,7868,7427,26
Housing Units,Owner occupied_5 persons and over,7844,7330,26
Housing Units,Householder Age - Owner occupied_15 to 24 years,2710,2402,26
Housing Units,Householder Age - Owner occupied_25 to 44 years,27937,27863,26
Housing Units,Householder Age - Owner occupied_45 to 64 years,18792,21171,26
Housing Units,Householder Age - Owner occupied_65 years and over,11370,10952,26
Population,White Nonhispanic,3344,2571,27
Population,Black Nonhispanic,124584,114475,27
Population,Asian and Pacific Islander Nonhispanic,5815,10572,27
Population,Other Nonhispanic,3211,3773,27
Population,Two or More Races Nonhispanic,6891,4628,27
Population,Hispanic Origin,14972,19879,27
Population,Female,86682,84162,27
Population,Male,72135,71736,27
Population,Under 5 years,10500,9196,27
Population,5 to 9 years,12060,9442,27
Population,10 to 14 years,12334,10152,27
Population,15 to 19 years,11669,11912,27
Population,20 to 24 years,10864,11872,27
Population,25 to 44 years,47098,41732,27
Population,45 to 64 years,35197,40943,27
Population,65 years and over,19095,20649,27
Population,18 years and over,116802,119951,27
Population,In households,156994,153667,27
Population,In households_In family households,143117,139055,27
Population,In households_In family households_Householder,37446,36181,27
Population,In households_In family households_Spouse,20178,18483,27
Population,In households_In family households_Own child under 18 years,30707,25981,27
Population,In households_In family households_Other relatives,48118,51792,27
Population,In households_In family households_Nonrelatives,6668,6618,27
Population,In households_In nonfamily households,13877,14612,27
Population,In households_In nonfamily households_Householder,11097,11417,27
Population,In households_In nonfamily households_Householder 65 years and over living alone,3675,3939,27
Population,In households_In nonfamily households_Nonrelatives,2780,3195,27
Population,In group quarters_In nonfamily households,1823,2231,27
Households,In group quarters_In nonfamily households,48543,47598,27
Households,Family households_In nonfamily households,37446,36181,27
Households,Family households_Married-couple family,20178,18483,27
Households,Family households_Married-couple family_With related children under 18 years,11325,9843,27
Households,"Family households_Female householder, no husband present",13738,13785,27
Households,"Family households_Female householder, no husband present_With related children under 18 years",8427,7706,27
Households,"Family households_Male householder, no wife present",3530,3913,27
Households,"Family households_Male householder, no wife present_With related children under 18 years",1778,1815,27
Households,"Nonfamily households_Male householder, no wife present",11097,11417,27
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",14203,15475,27
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.6438871975644926,3.6604018683839583,27
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2341223245370085,3.2284339678137735,27
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",51756,51234,27
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",48543,47598,27
Housing Units,"Renter occupied_Male householder, no wife present",17657,19444,27
Housing Units,"Owner occupied_Male householder, no wife present",30886,28154,27
Housing Units,Owner occupied_1  person household,9191,9394,27
Housing Units,Owner occupied_2  person household,10952,10712,27
Housing Units,Owner occupied_3  person household,9458,9087,27
Housing Units,Owner occupied_4  person household,8127,7805,27
Housing Units,Owner occupied_5 persons and over,10815,10600,27
Housing Units,Householder Age - Owner occupied_15 to 24 years,1157,984,27
Housing Units,Householder Age - Owner occupied_25 to 44 years,17651,13981,27
Housing Units,Householder Age - Owner occupied_45 to 64 years,18744,20842,27
Housing Units,Householder Age - Owner occupied_65 years and over,10991,11791,27
Population,White Nonhispanic,8128,4928,28
Population,Black Nonhispanic,81409,71233,28
Population,Asian and Pacific Islander Nonhispanic,14272,23016,28
Population,Other Nonhispanic,6556,10511,28
Population,Two or More Races Nonhispanic,12852,9423,28
Population,Hispanic Origin,25938,28216,28
Population,Female,79443,78017,28
Population,Male,69712,69310,28
Population,Under 5 years,10979,9210,28
Population,5 to 9 years,11958,9704,28
Population,10 to 14 years,12197,10625,28
Population,15 to 19 years,11733,11856,28
Population,20 to 24 years,10967,11666,28
Population,25 to 44 years,46558,41404,28
Population,45 to 64 years,30688,37846,28
Population,65 years and over,14075,15016,28
Population,18 years and over,106902,110609,28
Population,In households,148111,146643,28
Population,In households_In family households,135215,133850,28
Population,In households_In family households_Householder,35026,34608,28
Population,In households_In family households_Spouse,19712,18989,28
Population,In households_In family households_Own child under 18 years,32390,28318,28
Population,In households_In family households_Other relatives,42617,46475,28
Population,In households_In family households_Nonrelatives,5470,5460,28
Population,In households_In nonfamily households,12896,12793,28
Population,In households_In nonfamily households_Householder,10458,10249,28
Population,In households_In nonfamily households_Householder 65 years and over living alone,3232,3235,28
Population,In households_In nonfamily households_Nonrelatives,2438,2544,28
Population,In group quarters_In nonfamily households,1044,684,28
Households,In group quarters_In nonfamily households,45484,44857,28
Households,Family households_In nonfamily households,35026,34608,28
Households,Family households_Married-couple family,19712,18989,28
Households,Family households_Married-couple family_With related children under 18 years,11848,10738,28
Households,"Family households_Female householder, no husband present",12088,11906,28
Households,"Family households_Female householder, no husband present_With related children under 18 years",8002,7100,28
Households,"Family households_Male householder, no wife present",3226,3713,28
Households,"Family households_Male householder, no wife present_With related children under 18 years",1686,1825,28
Households,"Nonfamily households_Male householder, no wife present",10458,10249,28
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11174,11963,28
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.7042482727117,3.709835876098012,28
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2563318969307886,3.269121876184319,28
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",48270,48181,28
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",45484,44857,28
Housing Units,"Renter occupied_Male householder, no wife present",21878,23476,28
Housing Units,"Owner occupied_Male householder, no wife present",23606,21381,28
Housing Units,Owner occupied_1  person household,8794,8570,28
Housing Units,Owner occupied_2  person household,9834,9705,28
Housing Units,Owner occupied_3  person household,8569,8474,28
Housing Units,Owner occupied_4  person household,8036,7854,28
Housing Units,Owner occupied_5 persons and over,10251,10254,28
Housing Units,Householder Age - Owner occupied_15 to 24 years,1247,1045,28
Housing Units,Householder Age - Owner occupied_25 to 44 years,18979,15055,28
Housing Units,Householder Age - Owner occupied_45 to 64 years,16714,19892,28
Housing Units,Householder Age - Owner occupied_65 years and over,8544,8865,28
Population,White Nonhispanic,81122,69637,29
Population,Black Nonhispanic,4791,5193,29
Population,Asian and Pacific Islander Nonhispanic,32402,40905,29
Population,Other Nonhispanic,1676,1620,29
Population,Two or More Races Nonhispanic,5643,3688,29
Population,Hispanic Origin,24020,26879,29
Population,Female,78760,77955,29
Population,Male,70894,69967,29
Population,Under 5 years,7927,8373,29
Population,5 to 9 years,7159,6860,29
Population,10 to 14 years,7148,6100,29
Population,15 to 19 years,6930,6414,29
Population,20 to 24 years,8858,8094,29
Population,25 to 44 years,51505,47864,29
Population,45 to 64 years,35130,40585,29
Population,65 years and over,24997,23632,29
Population,18 years and over,123176,122708,29
Population,In households,147360,146668,29
Population,In households_In family households,114556,114053,29
Population,In households_In family households_Householder,36779,36394,29
Population,In households_In family households_Spouse,28220,27294,29
Population,In households_In family households_Own child under 18 years,24250,22859,29
Population,In households_In family households_Other relatives,22862,24749,29
Population,In households_In family households_Nonrelatives,2445,2757,29
Population,In households_In nonfamily households,32804,32615,29
Population,In households_In nonfamily households_Householder,27677,27310,29
Population,In households_In nonfamily households_Householder 65 years and over living alone,8325,7748,29
Population,In households_In nonfamily households_Nonrelatives,5127,5305,29
Population,In group quarters_In nonfamily households,2294,1254,29
Households,In group quarters_In nonfamily households,64456,63704,29
Households,Family households_In nonfamily households,36779,36394,29
Households,Family households_Married-couple family,28220,27294,29
Households,Family households_Married-couple family_With related children under 18 years,12309,11561,29
Households,"Family households_Female householder, no husband present",5982,6418,29
Households,"Family households_Female householder, no husband present_With related children under 18 years",2742,2749,29
Households,"Family households_Male householder, no wife present",2577,2682,29
Households,"Family households_Male householder, no wife present_With related children under 18 years",834,932,29
Households,"Nonfamily households_Male householder, no wife present",27677,27310,29
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",18426,17784,29
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.0482340466026807,3.0580864977743585,29
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.286210748417525,2.302335803089288,29
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",67150,67645,29
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",64456,63704,29
Housing Units,"Renter occupied_Male householder, no wife present",41403,36313,29
Housing Units,"Owner occupied_Male householder, no wife present",23053,27391,29
Housing Units,Owner occupied_1  person household,23665,22934,29
Housing Units,Owner occupied_2  person household,19508,19454,29
Housing Units,Owner occupied_3  person household,9378,9580,29
Housing Units,Owner occupied_4  person household,6806,6722,29
Housing Units,Owner occupied_5 persons and over,5099,5014,29
Housing Units,Householder Age - Owner occupied_15 to 24 years,1997,1445,29
Housing Units,Householder Age - Owner occupied_25 to 44 years,26175,23597,29
Housing Units,Householder Age - Owner occupied_45 to 64 years,20493,23868,29
Housing Units,Householder Age - Owner occupied_65 years and over,15791,14794,29
Population,White Nonhispanic,104735,116452,3
Population,Black Nonhispanic,8386,8212,3
Population,Asian and Pacific Islander Nonhispanic,12702,21527,3
Population,Other Nonhispanic,895,868,3
Population,Two or More Races Nonhispanic,3587,3989,3
Population,Hispanic Origin,21226,22206,3
