SCHOOL,DISTRICT,COUNTY,DISTRICT_TYPE,REGION,ATTENDANCE_RATE,LANGUAGE_ARTS_AVERAGE_CLASS_SIZE,MATHEMATICS_AVERAGE_CLASS_SIZE,SCIENCE_AVERAGE_CLASS_SIZE,HISTORY_GOVERNMENT_AND_GEOGRAPHY_AVERAGE_CLASS_SIZE,GRADE_1_AVERAGE_CLASS_SIZE,GRADE_2_AVERAGE_CLASS_SIZE,KINDERGARTEN_AVERAGE_CLASS_SIZE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,TEACHER_TURNOVER_RATE,PERCENT_OF_STUDENTS_SUSPENDED,N_PUPILS,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PRE_K,K,GRADE_01,GRADE_02,GRADE_03,GRADE_04,GRADE_05,GRADE_06,GRADE_07,GRADE_08,GRADE_09,GRADE_10,GRADE_11,GRADE_12,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES
36f09c4a,65da8fe7,f546182b,Average Need,Long Island,93,15.666666666666666,15.666666666666666,13,NA,NA,NA,NA,44,5,27,0,1,NA,0,349,2363,37896,0,0,0,0,0,115,103,125,0,0,0,0,0,0,47,53,10,0,18,10,53,17,2,21,54,0,1,0,0
873f6b10,f0d62969,f546182b,Low Need,Long Island,95,23.75,23.75,24,NA,NA,NA,NA,9,1,29,0,1,NA,0,488,688,26370,0,63,78,60,67,75,73,72,0,0,0,0,0,0,52,48,3,0,3,9,13,73,2,15,10,0,0,0,0
86fca6c7,f0d62969,f546182b,Low Need,Long Island,95,13.5,13.5,12,NA,NA,NA,NA,9,3,26,0,1,NA,0,269,838,35450,0,38,36,34,38,37,58,25,0,0,0,0,0,0,50,50,4,0,7,14,22,56,1,20,13,0,0,0,0
e1d66515,f0d62969,f546182b,Low Need,Long Island,95,18.25,18.5,22,NA,NA,NA,NA,12,1,33,0,1,NA,0,452,730,29872,0,57,61,61,65,69,66,72,0,0,0,0,0,0,52,48,4,0,3,8,19,68,2,23,14,0,0,0,0
cdf5b4dc,08c51e7d,f546182b,Average Need,Long Island,94,24.5,24.5,24,NA,NA,NA,NA,47,2,29,0,0,NA,1,382,890,24772,36,36,48,49,51,60,47,55,0,0,0,0,0,0,47,53,11,0,37,25,32,5,1,8,54,0,1,0,0
5c14c468,08c51e7d,f546182b,Average Need,Long Island,94,15,17.75,5,NA,NA,NA,NA,31,0,32,0,0,NA,0,336,2220,29990,18,38,45,45,46,41,48,45,0,0,0,0,0,0,58,42,7,1,34,39,19,4,3,20,36,0,1,1,0
f3a4c82c,08c51e7d,f546182b,Average Need,Long Island,94,21.25,21.25,23,NA,NA,NA,NA,50,5,66,0,0,NA,0,745,955,24833,52,98,79,92,106,100,113,105,0,0,0,0,0,0,46,54,8,0,32,29,31,6,2,11,60,0,0,0,0
0bef4b1f,2567338a,f546182b,Average Need,Long Island,94,12.75,14.4,16,NA,NA,NA,NA,36,5,40,0,1,NA,5,259,1672,48310,0,0,0,0,0,0,55,75,61,68,0,0,0,0,54,46,7,0,4,6,36,52,2,13,42,0,1,0,0
94977c8d,2567338a,f546182b,Average Need,Long Island,93,17,17,NA,NA,NA,NA,NA,39,4,41,0,1,NA,2,458,1497,32553,57,90,74,101,63,71,0,0,0,0,0,0,0,0,53,47,10,0,3,3,40,49,5,15,43,0,0,0,0
b5f05df7,a8be2be5,f546182b,Low Need,Long Island,95,22.5,18.8,17.5,NA,NA,NA,NA,41,4,97,7,2,NA,8,973,1206,30119,0,0,0,0,0,0,0,0,287,313,373,0,0,0,50,50,1,1,37,22,31,8,2,12,49,0,1,0,0
baee59e0,a8be2be5,f546182b,Low Need,Long Island,94,22,23.4,21.4,24,NA,NA,NA,36,3,129,9,1,NA,3,1257,1200,30279,0,0,0,0,0,0,0,0,178,189,186,222,240,242,51,49,15,0,18,25,33,22,1,12,42,0,0,0,0
64a46863,a8be2be5,f546182b,Low Need,Long Island,95,24.333333333333332,24.4,20.8,25,NA,NA,NA,37,3,121,9,1,NA,5,1244,1199,30632,0,0,0,0,0,0,0,0,210,192,220,210,186,195,51,49,0,0,29,24,32,13,2,12,42,0,1,0,0
e8b7f822,a8be2be5,f546182b,Low Need,Long Island,95,26,22,18.75,27,NA,NA,NA,41,3,92,8,2,NA,3,1119,1267,30060,0,0,0,0,0,0,0,0,0,0,0,389,355,375,52,48,1,0,39,25,28,6,2,16,48,0,1,0,0
33d96c98,57a45b44,f546182b,Low Need,Long Island,96,20.666666666666668,21.2,19.4,23,NA,NA,NA,33,2,120,7,2,NA,8,1474,981,27187,0,0,0,0,0,0,0,0,227,210,233,245,247,296,53,47,6,0,60,16,21,2,1,14,49,0,1,0,0
502915c2,57a45b44,f546182b,Low Need,Long Island,95,22.333333333333332,23,18,23.5,NA,NA,NA,20,1,110,6,2,NA,1,1327,989,26399,0,0,0,0,0,0,0,0,241,245,200,204,212,213,50,50,3,0,11,20,23,44,2,14,26,0,0,0,0
bfdc754f,57a45b44,f546182b,Low Need,Long Island,94,24,22.8,21.4,24,NA,NA,NA,18,1,122,7,1,NA,0,1594,950,24155,0,0,0,0,0,0,0,0,249,282,267,231,308,242,51,49,3,0,3,16,26,53,1,13,25,0,1,0,0
bb84e6ad,57a45b44,f546182b,Low Need,Long Island,95,21.666666666666668,23,19.2,24,NA,NA,NA,20,1,132,8,1,NA,0,1738,993,24833,0,0,0,0,0,0,0,0,249,253,259,306,293,304,52,48,4,0,3,57,17,22,1,14,27,0,0,0,0
ee7cf79a,57a45b44,f546182b,Low Need,Long Island,94,20.333333333333332,18.4,18,20,NA,NA,NA,43,4,152,10,1,NA,8,1622,986,27137,0,0,0,0,0,0,0,0,218,260,223,286,310,325,52,48,10,1,28,26,36,8,1,14,57,0,2,0,0
f310bb7a,2324402a,f546182b,Low Need,Long Island,95,25,23,25,NA,NA,NA,NA,11,2,83,4,1,NA,3,897,95,31066,0,0,0,0,0,0,0,0,448,449,0,0,0,0,48,52,1,0,2,11,17,66,2,18,17,0,0,0,0
6fb54384,2324402a,f546182b,Low Need,Long Island,95,25,24,24,NA,NA,NA,NA,9,1,85,4,1,NA,4,846,94,33267,0,0,0,0,0,0,0,0,398,432,3,0,0,0,51,49,1,0,2,7,13,76,2,17,14,0,0,0,0
071bc548,2324402a,f546182b,Low Need,Long Island,95,16,19,18,18.5,NA,NA,NA,17,2,148,10,2,NA,2,1217,95,35435,0,0,0,0,0,0,0,0,0,0,289,304,274,329,48,52,0,0,4,8,14,73,1,21,19,0,0,0,0
9b8c43dd,2324402a,f546182b,Low Need,Long Island,96,20,19.666666666666668,19.5,20,NA,NA,NA,15,3,130,9,1,NA,3,1191,97,32143,0,0,0,0,0,0,0,0,0,0,287,255,331,318,50,50,0,1,3,11,15,68,2,17,19,0,0,0,0
76dca4d2,2324402a,f546182b,Low Need,Long Island,95,17,20.666666666666668,20,20.5,NA,NA,NA,14,1,120,8,1,NA,3,1071,95,32776,0,0,0,0,0,0,0,0,0,0,280,272,265,254,51,49,3,0,3,9,12,75,1,14,16,0,0,0,0
d6496021,50cf0da3,f546182b,Average Need,Long Island,93,17.333333333333332,17.333333333333332,19,NA,18,18,NA,30,1,43,1,2,NA,0,335,1893,33833,35,42,59,41,52,48,58,0,0,0,0,0,0,0,54,46,8,0,6,3,33,55,4,14,38,0,2,0,0
c3fa3d15,50cf0da3,f546182b,Average Need,Long Island,93,21,17.333333333333332,21,NA,14,8,NA,23,1,55,2,2,NA,0,464,1808,33076,70,73,72,59,66,59,63,0,0,0,0,0,0,0,55,45,5,0,4,2,24,68,3,13,27,0,1,1,0
3bf3af58,50cf0da3,f546182b,Average Need,Long Island,94,16.333333333333332,16.333333333333332,17,NA,22,19,NA,24,1,43,1,2,NA,0,315,1718,36139,43,45,43,38,46,50,50,0,0,0,0,0,0,0,51,49,3,0,5,3,19,68,5,14,27,0,2,0,0
dfe85fa7,50cf0da3,f546182b,Average Need,Long Island,93,14.666666666666666,14.666666666666666,17,NA,21,20,NA,21,0,53,1,2,NA,0,449,1380,35627,54,69,73,63,57,68,65,0,0,0,0,0,0,0,54,46,3,0,7,2,22,67,2,19,22,0,1,0,0
e37c0a6c,50cf0da3,f546182b,Average Need,Long Island,93,18,17.25,19.5,NA,NA,NA,NA,18,0,91,3,3,NA,6,668,598,42559,0,0,0,0,0,0,1,190,234,238,0,0,0,0,55,45,2,0,9,2,25,61,2,16,30,0,1,0,0
79ba155a,50cf0da3,f546182b,Average Need,Long Island,92,19,19.333333333333332,21,19.5,NA,NA,NA,10,1,130,7,4,NA,6,1300,689,38645,0,0,0,0,0,0,0,0,0,0,304,307,325,339,50,50,4,0,8,4,34,51,2,16,36,0,1,0,0
ba0daca8,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,93,19,19,18,NA,NA,NA,NA,66,3,49,0,0,NA,5,575,2639,40400,0,0,120,118,117,112,108,0,0,0,0,0,0,0,55,45,46,0,22,0,75,2,0,14,79,0,2,0,0
09cfb079,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,93,18.666666666666668,18.666666666666668,20,NA,NA,NA,NA,63,1,42,0,0,NA,0,534,2593,35335,0,0,99,119,99,115,102,0,0,0,0,0,0,0,51,49,38,0,8,1,85,5,0,16,75,0,1,0,0
e90abc43,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1cd29aba,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,92,19.333333333333332,19.333333333333332,18,NA,NA,NA,NA,60,2,38,0,0,NA,0,455,2650,37596,0,0,77,89,79,101,109,0,0,0,0,0,0,0,50,50,30,0,22,1,69,8,0,11,71,0,1,0,0
90aea7b2,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,92,13.666666666666666,17,19.5,19,NA,NA,NA,62,1,105,0,0,NA,6,988,2619,40167,0,0,0,0,0,0,0,305,321,354,0,0,0,0,49,51,25,0,23,1,72,3,0,14,72,0,3,0,0
65b2a734,3482e9bf,f546182b,High-Need Urban/Suburban,Long Island,94,19,21,20.25,17,NA,NA,NA,61,1,113,0,0,NA,4,1559,2627,32533,0,0,0,0,0,0,0,0,0,0,380,385,417,376,55,45,26,0,19,1,77,2,0,8,73,0,3,0,0
85fbd191,a60428ec,f546182b,Low Need,Long Island,95,18,18,NA,NA,19,17,15,11,0,54,0,1,NA,1,537,707,38222,0,89,110,103,102,133,0,0,0,0,0,0,0,0,52,48,6,0,1,36,8,50,5,15,13,0,0,0,0
884f38f1,a60428ec,f546182b,Low Need,Long Island,95,19.333333333333332,14.5,19,NA,NA,NA,NA,9,0,53,0,0,NA,2,377,662,42165,0,0,0,0,0,0,112,126,138,0,0,0,0,0,51,49,3,0,0,36,8,52,4,14,10,0,1,0,0
8cb53727,a60428ec,f546182b,Low Need,Long Island,94,18.5,18.666666666666668,18.2,17,NA,NA,NA,12,0,87,1,1,NA,4,687,664,41894,0,0,0,0,0,0,0,0,0,145,124,153,136,121,52,48,2,0,1,35,7,53,3,14,14,0,0,0,0
686d20f8,88877504,f546182b,Low Need,Long Island,95,19.333333333333332,19.333333333333332,18,NA,NA,19,NA,17,3,51,0,1,NA,1,543,392,29725,0,0,0,128,131,148,129,0,0,0,0,0,0,0,51,49,4,0,3,30,11,50,5,10,23,0,0,0,0
0c7053b6,88877504,f546182b,Low Need,Long Island,94,NA,NA,NA,NA,20,NA,21,11,1,35,0,1,NA,0,331,412,34597,0,210,119,1,0,0,0,0,0,0,0,1,0,0,49,51,8,0,3,24,15,54,4,10,20,0,0,0,0
850e0488,88877504,f546182b,Low Need,Long Island,94,23,23,23,NA,20,22,NA,11,1,50,0,1,NA,0,578,390,28925,0,1,99,134,116,113,113,0,0,0,0,0,0,0,53,47,4,0,1,22,9,65,3,10,14,0,0,0,0
a3e6422a,88877504,f546182b,Low Need,Long Island,93,19,19.666666666666668,20.25,21,NA,NA,NA,14,2,106,7,1,NA,1,1065,429,37067,0,0,0,0,0,0,0,0,0,0,279,272,260,246,50,49,2,0,4,23,8,64,1,11,18,0,0,0,0
0dfd2c3a,88877504,f546182b,Low Need,Long Island,93,20.666666666666668,17.4,20.5,NA,NA,NA,NA,15,1,75,3,1,NA,2,792,403,32916,0,0,0,0,0,0,0,286,250,251,0,0,0,0,50,50,2,0,3,25,9,61,2,10,18,0,0,0,0
8c36fd5b,8bd5bdee,f546182b,Low Need,Long Island,95,22.666666666666668,22.666666666666668,22,NA,NA,NA,NA,16,1,47,0,0,NA,0,488,1097,33632,0,81,104,77,69,68,89,0,0,0,0,0,0,0,50,50,13,0,1,12,23,57,7,19,23,0,0,0,0
6895d651,8bd5bdee,f546182b,Low Need,Long Island,95,18.333333333333332,18,18,NA,NA,NA,NA,26,1,48,1,0,NA,0,490,1719,32864,0,80,91,81,84,80,72,0,0,0,0,0,0,0,51,49,24,0,1,13,31,50,4,17,32,0,0,0,0
270bcd85,8bd5bdee,f546182b,Low Need,Long Island,95,19,19,22,NA,NA,NA,NA,13,0,40,2,0,NA,0,499,1772,30479,98,73,59,55,69,71,74,0,0,0,0,0,0,0,47,53,7,0,4,9,17,65,5,22,17,0,0,0,0
06251251,8bd5bdee,f546182b,Low Need,Long Island,95,21,21,24,NA,NA,NA,NA,11,1,39,1,0,NA,0,436,927,30827,0,79,65,67,76,78,71,0,0,0,0,0,0,0,52,48,8,0,0,8,14,72,5,18,13,0,0,0,0
347f1848,8bd5bdee,f546182b,Low Need,Long Island,95,22.333333333333332,22.333333333333332,20,NA,NA,NA,NA,11,0,50,1,0,NA,0,533,759,31170,0,81,115,72,100,86,79,0,0,0,0,0,0,0,51,49,7,1,1,10,18,65,6,20,15,0,1,0,0
861b39bf,8bd5bdee,f546182b,Low Need,Long Island,96,18.666666666666668,18.5,21,NA,NA,NA,NA,16,1,113,4,2,NA,2,1218,945,32640,0,0,0,0,0,0,0,396,416,399,0,0,0,0,52,48,6,0,1,12,21,62,4,17,20,0,0,0,0
f76257eb,8bd5bdee,f546182b,Low Need,Long Island,95,18,22.5,21,18.5,NA,NA,NA,19,1,132,9,2,NA,3,1611,567,30580,0,0,0,0,0,0,0,0,0,0,400,404,443,357,53,47,7,0,1,10,25,60,4,10,24,0,1,0,0
3a686e1a,98f871a6,f546182b,Low Need,Long Island,90,15,12.75,11,NA,NA,NA,NA,21,2,38,0,0,NA,1,295,873,30528,17,35,46,37,35,42,43,40,0,0,0,0,0,0,56,44,9,0,0,55,20,21,3,21,28,0,0,0,1
69c47cf5,98f871a6,f546182b,Low Need,Long Island,95,22.75,22.75,23,NA,NA,NA,NA,23,3,43,0,0,NA,0,488,734,25221,51,39,62,57,54,68,77,78,0,0,0,0,0,0,53,46,11,1,0,58,19,18,4,16,28,0,0,0,1
f4fa0681,98f871a6,f546182b,Low Need,Long Island,92,24.25,24.25,26,NA,NA,NA,NA,24,4,45,0,0,NA,1,481,661,25406,36,52,53,49,47,67,77,75,0,0,0,0,0,0,47,53,9,1,0,71,11,13,4,12,32,0,0,0,0
cf333a1b,98f871a6,f546182b,Low Need,Long Island,93,22.5,22.5,20,NA,NA,NA,NA,16,1,33,0,0,NA,0,342,562,25108,48,36,39,35,38,47,40,55,0,0,0,0,0,0,50,50,4,1,1,60,10,26,3,11,19,0,0,0,0
20bb09de,d8780ec8,f546182b,Low Need,Long Island,95,12,15,13,13.5,NA,NA,NA,10,0,119,7,1,NA,1,1009,659,35975,0,0,0,0,0,0,0,0,0,0,267,239,265,229,52,48,1,0,3,29,7,59,2,14,11,0,0,0,0
304c35ca,d8780ec8,f546182b,Low Need,Long Island,96,23.25,21.75,25,NA,19,19,18,8,0,52,1,0,NA,0,834,656,31247,0,89,96,116,107,142,148,136,0,0,0,0,0,0,53,47,5,0,2,30,8,56,5,9,8,0,0,0,0
c7415e21,d8780ec8,f546182b,Low Need,Long Island,95,18.75,17.5,21,NA,18,18,18,9,1,47,1,1,NA,0,658,661,34309,0,75,75,92,81,103,105,126,0,0,0,0,0,0,53,47,3,0,3,37,11,45,4,13,10,0,0,0,0
e1465648,d8780ec8,f546182b,Low Need,Long Island,96,16.5,12,16.666666666666668,NA,NA,NA,NA,11,0,86,2,1,NA,1,514,664,32490,0,0,0,0,0,0,0,0,252,255,0,0,0,0,52,48,2,0,3,31,8,54,4,15,11,0,0,0,0
6f4b8af8,fde93938,f546182b,Low Need,Long Island,96,NA,NA,22,NA,19,21,17,16,2,51,1,1,NA,0,643,246,35269,0,85,99,127,91,129,111,0,0,0,0,0,0,0,51,49,4,0,0,58,9,29,4,11,20,0,0,0,0
85934801,fde93938,f546182b,Low Need,Long Island,95,NA,NA,19,NA,17,15,18,23,2,42,0,1,NA,0,446,226,40093,41,42,74,65,77,68,75,0,0,0,0,0,0,0,54,46,8,0,1,16,20,61,1,22,28,0,0,0,0
954227db,fde93938,f546182b,Low Need,Long Island,96,NA,NA,20,NA,18,20,NA,17,2,58,1,2,NA,0,763,247,33633,0,0,105,146,163,166,183,0,0,0,0,0,0,0,52,48,8,0,1,79,8,9,3,13,21,0,0,0,0
7424f9fb,fde93938,f546182b,Low Need,Long Island,100,NA,NA,NA,NA,NA,NA,17,16,1,15,0,0,NA,0,320,104,25719,190,130,0,0,0,0,0,0,0,0,0,0,0,0,59,41,12,0,2,68,7,18,6,25,22,0,1,0,0
3725db79,fde93938,f546182b,Low Need,Long Island,95,NA,NA,17,NA,20,20,16,13,2,47,0,1,NA,0,547,244,36593,0,67,84,91,100,86,117,0,0,0,0,0,0,0,52,48,7,0,1,43,8,44,4,18,18,0,0,0,0
5e6ab491,fde93938,f546182b,Low Need,Long Island,97,17,17.75,19,NA,NA,NA,NA,19,2,108,4,1,NA,2,729,243,40618,0,0,0,0,0,0,0,234,236,247,0,0,0,0,57,43,5,0,1,25,12,60,3,20,24,0,0,0,0
4dd2082a,fde93938,f546182b,Low Need,Long Island,97,20.333333333333332,16,19,NA,NA,NA,NA,17,3,96,4,1,NA,3,827,246,36642,0,0,0,0,0,0,0,265,254,308,0,0,0,0,54,46,4,0,1,74,9,11,5,12,24,0,0,0,0
50d96bcf,fde93938,f546182b,Low Need,Long Island,96,19,20.666666666666668,22.333333333333332,16.5,NA,NA,NA,21,2,131,8,0,NA,1,1322,246,35415,0,0,0,0,0,0,0,0,0,0,356,350,307,306,50,50,5,0,1,75,7,14,3,11,26,0,0,0,0
3b6788ca,fde93938,f546182b,Low Need,Long Island,96,15,19.333333333333332,20.333333333333332,15.5,NA,NA,NA,20,3,138,9,0,NA,4,1164,239,37880,0,0,0,0,0,0,0,0,0,0,263,284,323,269,53,47,3,0,0,21,9,67,2,24,26,0,0,0,0
4f5043fe,fde93938,f546182b,Low Need,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b8d20dec,0e6edb01,f546182b,Low Need,Long Island,96,21.666666666666668,21.666666666666668,23,NA,22,23,17,23,1,44,0,1,NA,0,495,597,32871,0,56,67,95,79,92,93,0,0,0,0,0,0,0,51,49,7,0,1,75,4,19,1,16,23,0,1,0,0
1ae33854,0e6edb01,f546182b,Low Need,Long Island,96,22.333333333333332,22.333333333333332,23,NA,22,22,22,16,2,44,0,1,NA,1,611,421,28086,0,86,87,110,102,112,114,0,0,0,0,0,0,0,45,55,9,0,1,78,8,13,0,10,18,0,0,0,0
259703d1,0e6edb01,f546182b,Low Need,Long Island,96,23.333333333333332,23.333333333333332,26,NA,23,22,20,21,1,45,0,1,NA,0,573,519,31392,0,59,94,117,85,99,108,0,0,0,0,0,0,0,53,47,13,0,1,77,4,18,1,13,22,0,0,0,0
2aebc041,0e6edb01,f546182b,Low Need,Long Island,97,23,22,20,NA,NA,NA,NA,17,1,105,3,2,NA,2,1125,432,29315,0,0,0,0,0,0,0,379,361,370,0,0,0,0,52,48,1,0,0,76,5,17,2,10,18,0,0,0,0
76bf6660,0e6edb01,f546182b,Low Need,Long Island,96,13,21.333333333333332,21.75,13,NA,NA,NA,21,2,128,7,3,NA,1,1503,425,30260,0,0,0,0,0,0,0,0,0,0,369,388,358,365,52,48,2,0,1,73,5,20,2,11,22,0,0,0,0
769fd327,60f0682f,f546182b,Low Need,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479d6496,60f0682f,f546182b,Low Need,Long Island,94,16.5,16.5,NA,NA,NA,NA,NA,29,4,36,0,1,NA,0,416,1281,35120,0,0,0,1,230,176,0,0,0,0,0,0,0,0,55,45,15,0,1,14,34,48,3,19,35,0,0,0,0
5f18863a,60f0682f,f546182b,Low Need,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624f04c4,60f0682f,f546182b,Low Need,Long Island,95,20,20,21.4,18,NA,NA,NA,30,2,102,0,0,NA,4,1091,1209,35192,0,0,0,0,0,0,0,0,0,209,210,206,231,218,52,48,9,0,3,13,36,45,2,15,35,0,1,0,0
c9505220,60f0682f,f546182b,Low Need,Long Island,95,18.666666666666668,18.5,21,NA,NA,NA,NA,27,1,59,0,0,NA,1,656,1209,35192,0,0,0,0,0,0,230,210,206,0,0,0,0,0,53,47,9,0,2,15,32,46,4,12,32,0,0,0,0
5755ef83,5c241cee,f546182b,Low Need,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e9e44cb2,5c241cee,f546182b,Low Need,Long Island,95,19.333333333333332,19.333333333333332,19,NA,NA,NA,NA,19,1,45,0,0,NA,2,404,578,37069,0,0,0,0,90,110,100,93,0,0,0,0,0,0,52,48,4,0,2,13,26,55,3,16,23,0,0,0,0
80e23275,5c241cee,f546182b,Low Need,Long Island,96,15.666666666666666,18,14.75,17,NA,NA,NA,23,3,75,0,0,NA,2,610,631,41920,0,0,0,0,0,0,0,0,89,121,88,101,98,94,54,46,3,0,2,10,23,64,1,19,28,0,1,0,0
fd83f7bd,2be358f1,f546182b,Low Need,Long Island,95,18.666666666666668,18.666666666666668,20,NA,NA,NA,NA,13,4,35,0,0,NA,1,365,443,19539,0,60,54,65,58,68,60,0,0,0,0,0,0,0,50,50,7,0,1,18,13,64,4,16,18,0,0,0,0
e9866186,2be358f1,f546182b,Low Need,Long Island,95,19,19,21,NA,NA,NA,NA,9,0,43,0,1,NA,0,406,575,52403,0,46,64,70,75,65,84,0,0,0,0,0,0,0,55,45,4,0,0,15,9,71,6,20,11,0,0,0,0
7bf3b7e3,2be358f1,f546182b,Low Need,Long Island,95,14,14,17,NA,NA,NA,NA,8,0,36,0,1,NA,0,341,580,51878,0,60,54,58,57,61,50,0,0,0,0,0,0,0,50,50,6,0,1,6,10,76,8,21,9,0,0,0,0
a1b6dcb6,2be358f1,f546182b,Low Need,Long Island,95,17,15,16.5,18.5,NA,NA,NA,11,2,106,5,2,NA,2,740,446,48749,0,0,0,0,0,0,0,0,0,0,178,176,191,191,48,52,1,0,0,11,11,73,4,14,15,0,0,0,0
c270a2de,2be358f1,f546182b,Low Need,Long Island,95,20,14.8,20,NA,NA,NA,NA,11,1,94,3,2,NA,5,658,558,43716,0,0,0,0,0,0,0,225,213,219,0,0,0,0,52,48,1,0,0,12,14,69,5,19,14,0,0,0,0
953d15cd,92c34f6e,f546182b,Low Need,Long Island,95,20.333333333333332,20.333333333333332,20,NA,23,23,19,8,1,34,0,1,NA,1,398,531,32899,0,57,68,69,64,81,59,0,0,0,0,0,0,0,55,45,2,0,2,30,4,60,4,7,11,0,0,0,0
85b7f3ac,92c34f6e,f546182b,Low Need,Long Island,96,19,19,18,NA,18,24,16,14,0,35,0,1,NA,2,301,676,41119,0,49,36,47,59,56,54,0,0,0,0,0,0,0,50,50,6,0,0,52,4,42,2,8,17,0,0,0,0
944e7ef8,92c34f6e,f546182b,Low Need,Long Island,95,21,21,24,NA,20,24,20,7,0,39,0,1,NA,0,454,320,32725,0,60,80,72,82,87,71,0,0,0,0,0,0,0,52,48,4,0,1,36,5,54,4,10,9,0,0,0,0
a84988e1,92c34f6e,f546182b,Low Need,Long Island,96,22,22,21,NA,22,23,14,14,0,42,0,1,NA,0,423,630,34440,0,54,65,68,74,76,82,0,0,0,0,0,0,0,52,48,6,0,1,54,4,37,4,13,17,0,0,0,0
376bb855,92c34f6e,f546182b,Low Need,Long Island,95,21.333333333333332,21.333333333333332,21,NA,20,18,16,17,1,47,0,1,NA,1,469,897,33628,0,48,80,88,86,84,83,0,0,0,0,0,0,0,51,49,6,0,0,67,4,26,3,8,22,0,0,0,0
3b604587,92c34f6e,f546182b,Low Need,Long Island,96,23.333333333333332,23.333333333333332,21,NA,20,18,15,14,2,42,0,1,NA,0,405,882,36918,0,45,59,72,72,75,82,0,0,0,0,0,0,0,53,47,8,0,0,73,5,18,3,7,18,0,0,0,0
c1a0cfbf,92c34f6e,f546182b,Low Need,Long Island,96,21,21,19,NA,21,23,18,7,1,41,0,1,NA,1,408,462,35499,0,55,41,69,68,82,91,0,0,0,0,0,0,0,50,50,9,0,0,53,8,35,4,10,12,0,1,0,0
603b9032,92c34f6e,f546182b,Low Need,Long Island,96,22,19.4,20.5,NA,NA,NA,NA,13,1,111,5,1,NA,3,955,309,36672,0,0,0,0,0,0,0,289,350,308,0,0,0,0,55,45,1,0,1,51,4,42,2,12,16,0,0,0,0
2f72fc40,92c34f6e,f546182b,Low Need,Long Island,96,26.333333333333332,17.8,15.5,NA,NA,NA,NA,12,1,85,3,2,NA,2,785,386,36593,0,0,0,0,0,0,0,266,279,240,0,0,0,0,50,50,1,0,1,51,5,40,3,7,15,0,0,0,0
628a04a9,92c34f6e,f546182b,Low Need,Long Island,97,18,21.333333333333332,19.75,15.5,NA,NA,NA,13,1,234,12,1,NA,2,2369,333,35264,0,0,0,0,0,0,0,0,0,0,627,593,600,536,51,49,2,0,1,48,6,44,2,9,17,0,0,0,0
0ac1dbf6,e188364c,f546182b,Low Need,Long Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
